--- Starting Cloud Landslide Mapping Pipeline ---
Using device: cuda
Total Samples: 3799 | Train: 3229 | Val: 570

--- Computing Normalization Statistics From Training Split ---
/usr/local/lib/python3.12/dist-packages/albumentations/core/validation.py:114: UserWarning: ShiftScaleRotate is a special case of Affine transform. Please use Affine transform instead.
  original_init(self, **validated_kwargs)
Per-channel mean: tensor([ 0.0479, -0.0922,  0.1729, -0.0100,  0.0012,  0.0004, -0.1233, -0.1005,
        -0.2608, -0.2118, -0.2797, -0.2763, -0.2837, -0.1967, -0.2824, -0.2755,
         0.3185])
Per-channel std : tensor([1.1740, 1.0312, 0.9888, 0.9612, 0.3528, 0.9493, 0.9230, 0.9432, 1.1291,
        1.0505, 1.1479, 1.1364, 1.1073, 1.1119, 1.2244, 1.1816, 1.3014])
Epoch [01/65] | Train Loss: 0.5340 | Val Loss: 0.4654  IoU: 0.4007  F1: 0.5721  Precision: 0.4358  Recall: 0.8325| LR: 0.000100
Epoch [02/65] | Train Loss: 0.4688 | Val Loss: 0.4159  IoU: 0.4120  F1: 0.5836  Precision: 0.4599  Recall: 0.7984| LR: 0.000100
Epoch [03/65] | Train Loss: 0.4211 | Val Loss: 0.4020  IoU: 0.3572  F1: 0.5264  Precision: 0.3851  Recall: 0.8312| LR: 0.000100
Epoch [04/65] | Train Loss: 0.3303 | Val Loss: 0.2515  IoU: 0.4869  F1: 0.6549  Precision: 0.5437  Recall: 0.8232| LR: 0.000100
Epoch [05/65] | Train Loss: 0.2544 | Val Loss: 0.2247  IoU: 0.5168  F1: 0.6815  Precision: 0.6230  Recall: 0.7521| LR: 0.000100
Epoch [06/65] | Train Loss: 0.2450 | Val Loss: 0.2247  IoU: 0.5286  F1: 0.6916  Precision: 0.6591  Recall: 0.7275| LR: 0.000100
Epoch [07/65] | Train Loss: 0.2405 | Val Loss: 0.2164  IoU: 0.5230  F1: 0.6868  Precision: 0.6200  Recall: 0.7698| LR: 0.000100
Epoch [08/65] | Train Loss: 0.2315 | Val Loss: 0.2093  IoU: 0.5337  F1: 0.6960  Precision: 0.6408  Recall: 0.7616| LR: 0.000100
Epoch [09/65] | Train Loss: 0.2234 | Val Loss: 0.2191  IoU: 0.5357  F1: 0.6976  Precision: 0.6365  Recall: 0.7718| LR: 0.000100
Epoch [10/65] | Train Loss: 0.2346 | Val Loss: 0.2051  IoU: 0.5313  F1: 0.6939  Precision: 0.6268  Recall: 0.7771| LR: 0.000100
Epoch [11/65] | Train Loss: 0.2266 | Val Loss: 0.2188  IoU: 0.5305  F1: 0.6932  Precision: 0.6315  Recall: 0.7684| LR: 0.000100
Epoch [12/65] | Train Loss: 0.2247 | Val Loss: 0.2081  IoU: 0.5428  F1: 0.7037  Precision: 0.6728  Recall: 0.7375| LR: 0.000100
Epoch [13/65] | Train Loss: 0.2233 | Val Loss: 0.2141  IoU: 0.5426  F1: 0.7035  Precision: 0.6477  Recall: 0.7698| LR: 0.000100
Epoch [14/65] | Train Loss: 0.2218 | Val Loss: 0.2070  IoU: 0.5430  F1: 0.7038  Precision: 0.6203  Recall: 0.8133| LR: 0.000100
Epoch [15/65] | Train Loss: 0.2231 | Val Loss: 0.2042  IoU: 0.5544  F1: 0.7134  Precision: 0.7088  Recall: 0.7180| LR: 0.000100
Epoch [16/65] | Train Loss: 0.2179 | Val Loss: 0.2076  IoU: 0.5514  F1: 0.7108  Precision: 0.7018  Recall: 0.7202| LR: 0.000100
Epoch [17/65] | Train Loss: 0.2169 | Val Loss: 0.1985  IoU: 0.5717  F1: 0.7275  Precision: 0.7042  Recall: 0.7524| LR: 0.000100
Epoch [18/65] | Train Loss: 0.2250 | Val Loss: 0.2138  IoU: 0.5538  F1: 0.7128  Precision: 0.6923  Recall: 0.7345| LR: 0.000100
Epoch [19/65] | Train Loss: 0.2103 | Val Loss: 0.2081  IoU: 0.5459  F1: 0.7062  Precision: 0.6830  Recall: 0.7311| LR: 0.000100
Epoch [20/65] | Train Loss: 0.2473 | Val Loss: 0.2656  IoU: 0.5262  F1: 0.6895  Precision: 0.6156  Recall: 0.7836| LR: 0.000100
