--- Starting Cloud Landslide Mapping Pipeline ---
Using device: cuda
Total Samples: 3799 | Train: 3229 | Val: 570
Epoch [01/50] | Train Loss: 0.4250 | Val Loss: 0.3842  IoU: 0.3616  F1: 0.5234  Precision: 0.3898  Recall: 0.8421
Epoch [02/50] | Train Loss: 0.3790 | Val Loss: 0.3500  IoU: 0.4470  F1: 0.6114  Precision: 0.4986  Recall: 0.8102
Epoch [03/50] | Train Loss: 0.3534 | Val Loss: 0.3197  IoU: 0.4858  F1: 0.6485  Precision: 0.5841  Recall: 0.7415
Epoch [04/50] | Train Loss: 0.2939 | Val Loss: 0.2369  IoU: 0.4416  F1: 0.6022  Precision: 0.5103  Recall: 0.7635
Epoch [05/50] | Train Loss: 0.2274 | Val Loss: 0.2018  IoU: 0.4703  F1: 0.6353  Precision: 0.7144  Recall: 0.5791
Epoch [06/50] | Train Loss: 0.2072 | Val Loss: 0.1859  IoU: 0.4809  F1: 0.6437  Precision: 0.5889  Recall: 0.7312
Epoch [07/50] | Train Loss: 0.2066 | Val Loss: 0.1873  IoU: 0.4866  F1: 0.6488  Precision: 0.6893  Recall: 0.6219
Epoch [08/50] | Train Loss: 0.1964 | Val Loss: 0.1881  IoU: 0.4787  F1: 0.6400  Precision: 0.6162  Recall: 0.6808
Epoch [09/50] | Train Loss: 0.2058 | Val Loss: 0.2122  IoU: 0.4619  F1: 0.6227  Precision: 0.6068  Recall: 0.6619
Epoch [10/50] | Train Loss: 0.2124 | Val Loss: 0.1909  IoU: 0.4879  F1: 0.6479  Precision: 0.6066  Recall: 0.7133
Epoch [11/50] | Train Loss: 0.1994 | Val Loss: 0.1805  IoU: 0.4930  F1: 0.6538  Precision: 0.6014  Recall: 0.7302
Epoch [12/50] | Train Loss: 0.1995 | Val Loss: 0.1846  IoU: 0.4764  F1: 0.6386  Precision: 0.5473  Recall: 0.7872
Epoch [13/50] | Train Loss: 0.1903 | Val Loss: 0.1971  IoU: 0.5202  F1: 0.6787  Precision: 0.6576  Recall: 0.7097
Epoch [14/50] | Train Loss: 0.1913 | Val Loss: 0.1824  IoU: 0.5057  F1: 0.6670  Precision: 0.6698  Recall: 0.6745
Epoch [15/50] | Train Loss: 0.1916 | Val Loss: 0.1784  IoU: 0.5303  F1: 0.6878  Precision: 0.6988  Recall: 0.6853
Epoch [16/50] | Train Loss: 0.1928 | Val Loss: 0.1901  IoU: 0.4967  F1: 0.6581  Precision: 0.5770  Recall: 0.7809
Epoch [17/50] | Train Loss: 0.1887 | Val Loss: 0.1756  IoU: 0.5224  F1: 0.6799  Precision: 0.6550  Recall: 0.7147
Epoch [18/50] | Train Loss: 0.1939 | Val Loss: 0.1752  IoU: 0.5119  F1: 0.6704  Precision: 0.6073  Recall: 0.7604
Epoch [19/50] | Train Loss: 0.1808 | Val Loss: 0.1820  IoU: 0.5092  F1: 0.6674  Precision: 0.7043  Recall: 0.6428
